user_id,total_failed_logins,total_admin_requests,total_pwd_changes,recent_failed_logins_7d,days_since_last_event,days_since_last_pwd_change,is_compromised,y_pred
user_440592,1,1,1,0,273,289.0,0,0.0
user_83559,1,1,1,0,273,296.0,0,0.0
user_399017,2,0,1,0,274,282.0,0,0.0
user_342693,2,1,1,0,272,297.0,0,0.0
user_409800,2,0,2,0,273,284.0,0,0.0
user_143231,2,1,1,0,272,282.0,0,0.0
user_303178,1,1,1,0,275,285.0,0,0.0
user_322674,1,0,2,0,272,275.0,0,0.0
user_218986,2,2,1,0,273,298.0,0,0.0
user_385457,4,2,0,0,272,283.0,1,0.0
user_230110,2,0,0,0,272,283.0,0,0.0
user_297915,2,2,1,0,276,281.0,0,0.0
user_454642,7,1,3,0,272,288.0,0,0.0
user_397754,1,1,1,0,273,292.0,0,0.0
user_36118,1,2,1,0,276,290.0,0,0.0
user_225534,0,1,1,0,272,282.0,0,0.0
user_404399,1,0,4,0,275,275.0,0,0.0
user_67763,5,2,0,0,275,283.0,1,0.0
user_123377,0,0,0,0,272,283.0,0,0.0
user_290620,3,0,0,0,273,283.0,0,0.0
user_333274,1,1,0,0,272,283.0,0,0.0
user_343267,3,1,0,0,272,283.0,0,0.0
user_497190,1,0,1,0,272,295.0,0,0.0
user_342907,0,0,0,0,274,283.0,0,0.0
user_261680,3,0,0,0,272,283.0,0,0.0
user_140773,2,1,0,0,272,283.0,0,0.0
user_317355,1,1,1,0,274,299.0,0,0.0
user_96773,0,1,0,0,274,283.0,0,0.0
user_121419,2,4,0,0,272,283.0,0,0.0
user_486110,1,0,1,0,274,296.0,0,0.0
user_100092,2,2,0,0,280,283.0,0,0.0
user_128452,2,2,2,0,274,282.0,0,0.0
user_125275,1,1,1,0,272,286.0,0,0.0
user_422785,2,3,2,0,272,281.0,0,0.0
user_48558,1,1,1,0,273,292.0,0,0.0
user_113134,4,1,0,0,272,283.0,0,0.0
user_401105,1,2,2,0,272,294.0,0,0.0
user_285007,2,2,0,0,274,283.0,0,0.0
user_384822,0,1,0,0,275,283.0,0,0.0
user_218565,3,3,0,0,272,283.0,0,0.0
user_297307,2,1,0,0,273,283.0,0,0.0
user_451394,7,1,2,0,273,279.0,0,0.0
user_311769,4,2,0,0,273,283.0,0,0.0
user_85201,1,0,3,0,272,277.0,0,0.0
user_150366,3,0,0,0,275,283.0,0,0.0
user_176918,3,2,1,0,272,277.0,0,0.0
user_353480,6,2,0,0,273,283.0,1,1.0
user_291677,1,1,2,0,273,280.0,0,0.0
user_277737,3,0,0,0,272,283.0,0,0.0
user_272407,4,1,0,0,272,283.0,0,0.0
user_43795,1,2,0,0,272,283.0,0,0.0
user_187800,4,1,1,0,275,275.0,0,0.0
user_208306,2,0,0,0,273,283.0,0,0.0
user_23470,2,1,0,0,276,283.0,0,0.0
user_38290,2,2,2,0,272,278.0,0,0.0
user_160853,3,0,0,0,272,283.0,0,0.0
user_252947,2,1,2,0,272,275.0,0,0.0
user_117756,1,0,1,0,272,289.0,0,0.0
user_285993,5,2,0,0,272,283.0,0,0.0
user_162122,1,1,0,0,277,283.0,0,0.0
user_357304,3,1,0,0,272,283.0,0,0.0
user_364233,0,0,0,0,272,283.0,0,0.0
user_424208,3,1,0,0,273,283.0,0,0.0
user_242507,5,3,0,0,274,283.0,0,1.0
user_222040,1,0,0,0,273,283.0,0,0.0
user_374058,5,5,0,0,274,283.0,1,1.0
user_28287,3,1,4,0,272,272.0,0,0.0
user_367181,2,1,1,0,274,295.0,0,0.0
user_329582,2,1,2,0,273,294.0,0,0.0
user_453233,0,3,2,0,272,274.0,0,0.0
user_144730,4,3,0,0,272,283.0,0,0.0
user_381587,3,2,0,0,272,283.0,0,0.0
user_100671,3,3,1,0,272,286.0,0,0.0
user_363133,1,1,0,0,274,283.0,0,0.0
user_440783,1,0,0,0,272,283.0,0,0.0
user_235423,2,2,3,0,272,293.0,0,0.0
user_176677,1,2,4,0,273,275.0,0,0.0
user_89875,2,1,1,0,273,292.0,0,0.0
user_311586,3,2,1,0,272,290.0,0,0.0
user_446740,3,1,0,0,273,283.0,0,0.0
user_136008,0,0,1,0,281,282.0,0,0.0
user_41724,3,2,1,0,272,292.0,0,0.0
user_98973,1,0,0,0,276,283.0,0,0.0
user_200872,2,1,1,0,272,288.0,0,0.0
user_483048,2,1,0,0,273,283.0,0,0.0
user_112952,1,2,1,0,274,288.0,0,0.0
user_191287,3,1,3,0,272,273.0,0,0.0
user_237432,3,1,0,0,274,283.0,0,0.0
user_90322,0,1,1,0,274,288.0,0,0.0
user_81737,1,0,0,0,276,283.0,0,0.0
user_441934,4,1,2,0,273,283.0,0,0.0
user_294271,4,2,1,0,274,274.0,0,0.0
user_292353,1,1,2,0,272,282.0,0,0.0
user_148817,1,0,2,0,273,281.0,0,0.0
user_136386,2,1,2,0,272,280.0,0,0.0
user_394435,1,0,0,0,275,283.0,0,0.0
user_390328,5,0,0,0,273,283.0,0,0.0
user_369458,2,1,1,0,275,280.0,0,0.0
user_362526,2,0,1,0,275,294.0,0,0.0
user_208781,1,1,0,0,274,283.0,0,0.0
user_64428,2,1,2,0,272,272.0,0,0.0
user_393417,2,2,1,0,274,294.0,0,0.0
user_468210,0,0,2,0,273,274.0,0,0.0
user_377177,5,2,0,0,273,283.0,1,0.0
user_422347,6,1,3,0,273,280.0,1,0.0
user_458753,3,0,1,0,272,283.0,0,0.0
user_219262,1,1,0,0,272,283.0,0,0.0
user_228490,0,0,1,0,272,275.0,0,0.0
user_16770,3,2,0,0,272,283.0,0,0.0
user_61967,1,0,2,0,273,290.0,0,0.0
user_81050,1,0,2,0,273,274.0,0,0.0
user_133421,3,1,3,0,273,276.0,0,0.0
user_213120,2,1,0,0,280,283.0,0,0.0
user_62842,1,0,0,0,272,283.0,0,0.0
user_113404,4,3,0,0,272,283.0,0,0.0
user_370883,1,1,0,0,274,283.0,0,0.0
user_296805,1,0,2,0,274,280.0,0,0.0
user_328683,1,0,1,0,273,291.0,0,0.0
user_414845,3,0,1,0,272,272.0,0,0.0
user_43952,1,3,1,0,272,284.0,0,0.0
user_179680,2,3,1,0,274,281.0,1,0.0
user_443722,2,1,0,0,273,283.0,0,0.0
user_281325,3,0,0,0,272,283.0,0,0.0
user_248226,1,0,3,0,273,279.0,0,0.0
user_179273,5,2,0,0,272,283.0,0,0.0
user_228978,0,1,2,0,274,276.0,0,0.0
user_471581,3,0,1,0,273,276.0,0,0.0
user_408670,1,0,0,0,272,283.0,0,0.0
user_484509,3,0,0,0,272,283.0,0,0.0
user_389124,3,0,2,0,272,284.0,0,0.0
user_443527,4,1,1,0,273,290.0,0,0.0
user_447256,2,1,1,0,275,279.0,0,0.0
user_109126,0,1,2,0,272,286.0,0,0.0
user_314638,3,1,0,0,273,283.0,0,0.0
user_191659,4,1,0,0,272,283.0,0,0.0
